Product Name,Price,Date,Link
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0014QU, Light-Weight, Next-Gen AI Laptop","75,490",2026-03-29,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDQ3OTkzNzA5MDM1NTU5OjE3NzQ3NjAwMzg6c3BfYXRmOjMwMDY0NzIyOTgxOTkzMjo6MDo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1774760038%26sr%3D8-1-spons%26aref%3DXCvFJyYctD%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=XCvFJyYctD&sp_cr=ZAZ
"Dell 15, AMD Ryzen 7-7730U, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.6cm, Windows 11, Microsoft Office Home 2024, Platinum Silver, 1.63Kg, [Dell 15], 120Hz 250nits, AMD Radeon Graphics,Thin & Light, Laptop","61,395",2026-03-29,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDQ3OTkzNzA5MDM1NTU5OjE3NzQ3NjAwMzg6c3BfYXRmOjMwMDkzNDI0NzQ5MjAzMjo6MDo6&url=%2FDell-15-Platinum-Graphics-Standard%2Fdp%2FB0FDQ2R315%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1774760038%26sr%3D8-2-spons%26aref%3DydORVLTSpg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=ydORVLTSpg&sp_cr=ZAZ
"HP 15, 13th Gen Intel Core i3-1315U, (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD,15.6''/39.6cm, Win11,M365 Basic(1yr),Office24, Silver,1.59kg, fd0572TU, FHD Camera w/Shutter, Backlit Laptop","44,990",2026-03-29,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0572TU/dp/B0F4R6GXWJ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-3
"Dell 15 (Previously Inspiron), 13th Gen Intel Core i5-1334U (16GB RAM, 1TB SSD) FHD, Anti-Glare 15.6""/39.62cm, Windows 11 MSO'24, Silver, 1.62kg, 12 Month McAfee, Thin & Light, Backlit Keyboard Laptop","61,297",2026-03-29,https://www.amazon.in/Dell-Generation-i5-1334U-Processor-Keyboard/dp/B0DSFQZTVW/ref=sr_1_4?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-4
"HP i5 Laptop, Intel 10-Core i5-1335U with Lifetime Microsoft Office, 16GB RAM 512GB SSD, Windows 11, Fast WiFi 6E, Numeric Keypad, Long Battery Life, Ethernet Port, Laptop for Business&Student","59,999",2026-03-29,https://www.amazon.in/HP-i5-1335U-Lifetime-Microsoft-Ethernet/dp/B0G3WWMTZT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-5
"ASUS Vivobook 15, Intel Core i7 13th Gen 13620H, 16GB RAM, 1TB SSD, FHD 15.6"", Windows 11, Office Home 2024, Cool Silver, 1.7Kg, X1502VA-BQ1299WS, Intel UHD GPU, 42Whr, M365 Basic (1Year)* Laptop","68,990",2026-03-29,https://www.amazon.in/ASUS-Vivobook-13620H-Windows-X1502VA-BQ1299WS/dp/B0FC2K5LJB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-6
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD, 14"", 60Hz,42WHrs, Windows 11, M365 Basic (1Year)*,Office Home 2024, Mixed Black, 1.38 kg, E1404FA-EB774WS, Thin & Light Laptop","43,490",2026-03-29,https://www.amazon.in/ASUS-Vivobook-Windows-Backlit-E1404FA-NK5542WS/dp/B0FN9FV4ZZ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-7
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop","50,990",2026-03-29,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Anti-glare-83ER00MDIN/dp/B0FH71SN5N/ref=sr_1_8?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-8
"HP Elite x360 1040 G11 14"" Touchscreen Convertible 2 in 1 Notebook - WUXGA - Intel Core Ultra 7 155H - vPro Technology - 32 GB - 512 GB SSD - English Keyboard - Intel Chip - 1920 x 1200 - Windows 11 P","1,45,990",2026-03-29,https://www.amazon.in/HP-Elite-Touchscreen-Convertible-Notebook/dp/B0DBRHS1ZZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-9
"acer Aspire 3, Intel Pentium N6000, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop","35,499",2026-03-29,https://www.amazon.in/acer-Pentium-LPDDR4X-39-62cm-A325-45/dp/B0GLXWY8ZX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-10
