name,price_x,date_x,link_x,price_y,date_y,link_y,change
"acer Aspire Lite 12th Gen Intel Core i5-12450H, Office 2024 + M365 Basic, 16GB RAM/512GB SSD, 39.62cm(15.6"") FHD IPS Display Win11H, Pure Silver, 1.7KG,AL15-52H, Backlit KB, Thin & Light Laptop",50000.0,2026-03-29,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTQ2MDkwNDIzMTg5MTE4OjE3NzQ3MjMzMjM6c3BfYXRmOjMwMDMyNTkyMDk2MzczMjo6MDo6&url=%2FAcer-i5-12450H-Windows11Home-AL15-52H-Keyboard%2Fdp%2FB0DDL495SX%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.tFRGpa1-14qr9KZfVXu1c8tkY2QQqwjBKGk_ZulCk6U0keLnz7UWyXm8MOCNcfDnBZyjHknxBj7SW9gN9-FZ_ZQ6cE_e66h6DtT2r3HngI9_FJ2HT9JPpN89DOgjCuciI-eC8pvA26IRpkDcwpvCw5PBGS57tgloocQdJYq3G6cdgvDc5Np7ze0t8MPRNv9057xonWBuXrwj4khgOjRVHORbJjf6KJGrZmu8gwiYlyM.39RY6WIpzWvt49sc55_uCrBx-5dq_NfeDy4En-NDHss%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1774723323%26sr%3D8-1-spons%26aref%3DtoB8mIrCZ8%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=toB8mIrCZ8&sp_cr=ZAZ,51990,2026-03-28,https://www.amazon.in/Acer-i5-12450H-Windows11Home-AL15-52H-Keyboard/dp/B0DDL495SX/ref=sr_1_14?dib=eyJ2IjoiMSJ9.qzqItt_Heg5H3NSpepPt1Yk223nzljG0WunESVfoNH8ZwYQqNriuRWoIfAqLP5wXnJwvidG6JZyBnqnhO-fBPKIJVxtPg7XWMsktTbcYal2QbSKH8aAiHC7IsBYJDYio3dwDKXIDI4HE13bssHZ84Uiq-sESBUD8809IUUMPQWl2Q6CNvBpy_xkBK8WTKk8M4ofrSRLJwgD4IegK5g8WelSiyyhdC6luZzOkOGlC6Fs.eQsIY2B_Wc3prlkp75g_vNLLwApQrO6I7RGw1l16IWw&dib_tag=se&keywords=laptop&qid=1774722124&sr=8-14,-1990.0
"ASUS Vivobook Go 14 (2023) Thin & Light Laptop,AMD Ryzen 5 7520U, 14-inch (35.56 cm) FHD, (8GB RAM/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Silver/1.38 kg), E1404FA-NK521WS",,2026-03-29,https://www.amazon.in/ASUS-Vivobook-14-inch-Windows-E1404FA-NK521WS/dp/B0BVMM9CW5/ref=sr_1_16?dib=eyJ2IjoiMSJ9.tFRGpa1-14qr9KZfVXu1c8tkY2QQqwjBKGk_ZulCk6U0keLnz7UWyXm8MOCNcfDnBZyjHknxBj7SW9gN9-FZ_ZQ6cE_e66h6DtT2r3HngI9_FJ2HT9JPpN89DOgjCuciI-eC8pvA26IRpkDcwpvCw5PBGS57tgloocQdJYq3G6cdgvDc5Np7ze0t8MPRNv9057xonWBuXrwj4khgOjRVHORbJjf6KJGrZmu8gwiYlyM.39RY6WIpzWvt49sc55_uCrBx-5dq_NfeDy4En-NDHss&dib_tag=se&keywords=laptop&qid=1774723323&sr=8-16,38790,2026-03-28,https://www.amazon.in/ASUS-Vivobook-14-inch-Windows-E1404FA-NK521WS/dp/B0BVMM9CW5/ref=sr_1_20?dib=eyJ2IjoiMSJ9.L4eu5_rRetfF89-yJ2x3jYED-wf_50nDmLcGkXyME3c_W0gCqwTTg5mMIYgc1TK7594czjpJNs2-3IwGTjklLwyPFPjyVhp_DYpzOM7dLFw5BCRM8Fr10Ts_hwkc1WRmDIw1AAjUK-e9m4LoFxlcsYohBuBjjjotpO5pOYJgf_R7kPPX0Jwag9iPBH9eDWcpws3ohVD3YM72BtTiTrsAvF29gyz-AQNG6KH_svgjBQs.cJ6Nveq0arYc9FwVlt-iwohVi7ntUo1CzSYOfcXHYuw&dib_tag=se&keywords=laptop&qid=1774722143&sr=8-20,
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",49990.0,2026-03-29,https://www.amazon.in/ASUS-Vivobook-Smartchoice-Windows-M1502YA-BQ703WS/dp/B0FC2LKFSC/ref=sr_1_30?dib=eyJ2IjoiMSJ9.RWW1FHwGwzKBLICz7t1UTjy_cGFjEgkDgzPrsSRqjPWC8BT1O26h52O1ORvdm3wqNzS6pvIkIrwgCOoqqPr4Dk37BEaTyklggzQtXQcgY4FejhX7RgTHOtj6rjsKRATzZu7zvVriXzUnqGtp0tCikT6Kg7ibjlwCVlUiiQwUvyBh1NevEhLbC5yt7zLZS5QVHhlTNYF93vouB6kjIz19ehIB4h9PyoJDLpVDGi3YKCU.pq2OyjTG2ZddD3O1HHWWCdri8hPanBMyYExgL4oBxvU&dib_tag=se&keywords=laptop&qid=1774723341&sr=8-30,51990,2026-03-28,https://www.amazon.in/ASUS-Vivobook-Smartchoice-Windows-M1502YA-BQ703WS/dp/B0FC2LKFSC/ref=sr_1_39?dib=eyJ2IjoiMSJ9.MlxwIZMTif4jwOS1SlD-j5NG4FTAInfagHP6HHTeR8jTbDIPTBKIXZB4aS6HPkbhA5Kt-Cp2fiqqNEHkeKRRvCwnnlzeDLNYfBgwqqzsKM9Ef_BACVr31ksdbIz-4UC-rUixQKa-EGDD6rk3RwOSGQ4xMZMKF-YUSg99_zE7hIbke4cnrY8kfQ4DVmEh1OVfrDvECkI-Lm_gEekpYP0LPMARUhtfTGuDUZtdIN4cSo0.HRQ0U-gqXHrQKRP-AytAvpEllnmi__ZT-FsQNm49k40&dib_tag=se&keywords=laptop&qid=1774722158&sr=8-39,-2000.0
"HP 255 G10 Laptop for Home or Work, 16GB RAM DDR5, 512GB SSD, 15.6"" Full HD, Ryzen 3 7335U (Beats Intel i5-1135G7), HDMI, USB-C, Windows 11",43800.0,2026-03-29,https://www.amazon.in/HP-255-Laptop-i5-1135G7-Windows/dp/B0DCSYTVDD/ref=sr_1_52?dib=eyJ2IjoiMSJ9.akOlL5nZ1nVPS9zIxmx4KUZFx0bXLmRw5RZVdJII8S4oCaM9U-hc-Bx0cTPquQf1UY5zTpv65gsJA8Mw3UaBHaE9JZN33zKDeWXPwC9RBuRbFyG1qHug_e4EpSeNrnyPRfZqz6nTl8Cy-nxmp858L63TUKeV0R3PiJbyrsV7MND_bUYy_u0MCaDWpGuvc8hPjFrVA_jLcpPSxPXAWl45FnA-HFAV2MNIzFOIR6m0k5E.St3otKECrD15VtLHOXCRclMNJM5B-ygp-XBVFMzGQw4&dib_tag=se&keywords=laptop&qid=1774723367&sr=8-52,51299,2026-03-28,https://www.amazon.in/HP-255-Laptop-i5-1135G7-Windows/dp/B0FDBLR2HT/ref=sr_1_16?dib=eyJ2IjoiMSJ9.qzqItt_Heg5H3NSpepPt1Yk223nzljG0WunESVfoNH8ZwYQqNriuRWoIfAqLP5wXnJwvidG6JZyBnqnhO-fBPKIJVxtPg7XWMsktTbcYal2QbSKH8aAiHC7IsBYJDYio3dwDKXIDI4HE13bssHZ84Uiq-sESBUD8809IUUMPQWl2Q6CNvBpy_xkBK8WTKk8M4ofrSRLJwgD4IegK5g8WelSiyyhdC6luZzOkOGlC6Fs.eQsIY2B_Wc3prlkp75g_vNLLwApQrO6I7RGw1l16IWw&dib_tag=se&keywords=laptop&qid=1774722124&sr=8-16,-7499.0
"Model 5400 Corporate Laptop | i5 8th Gen | 8GB RAM | 256GB SSD | 14"" FHD | Win 10 | A+ Grade (Refab)",24995.0,2026-03-29,https://www.amazon.in/5400-Corporate-i5-8th-Gen/dp/B0GP76QXV8/ref=sr_1_56?dib=eyJ2IjoiMSJ9.akOlL5nZ1nVPS9zIxmx4KUZFx0bXLmRw5RZVdJII8S4oCaM9U-hc-Bx0cTPquQf1UY5zTpv65gsJA8Mw3UaBHaE9JZN33zKDeWXPwC9RBuRbFyG1qHug_e4EpSeNrnyPRfZqz6nTl8Cy-nxmp858L63TUKeV0R3PiJbyrsV7MND_bUYy_u0MCaDWpGuvc8hPjFrVA_jLcpPSxPXAWl45FnA-HFAV2MNIzFOIR6m0k5E.St3otKECrD15VtLHOXCRclMNJM5B-ygp-XBVFMzGQw4&dib_tag=se&keywords=laptop&qid=1774723367&sr=8-56,25550,2026-03-28,https://www.amazon.in/5400-Corporate-i5-8th-Gen/dp/B0GS2GMHSD/ref=sr_1_66?dib=eyJ2IjoiMSJ9.xFvx5U3AwNt7CAspP5T-Qh_LIC83r9_-vk0UNW5V4LwHuYCsGOZ-vADlYYxWcAbWjrYIj16txMxwka0fTpyxd4QaPRGytfsl02rSjumz2YmFMzFPzZOz-r8zkekcgWvlFvdx3a723-mgvVpBW1-nwkx2ohSxSOwFIO844z1VuBgOLnYIUuIwDbylQoF2NZ_7FJ6A49NFEvJCfZYKlhT7NxMrmYOIX6GsDuPqUyiA_yM.GmnMOQxzu5MW3-zEcUzTU9VmcRa1V7qOqXcEHOUprLE&dib_tag=se&keywords=laptop&qid=1774722175&sr=8-66,-555.0
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0014QU, Light-Weight, Next-Gen AI Laptop",75490.0,2026-03-29,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDQ3OTkzNzA5MDM1NTU5OjE3NzQ3NjAwMzg6c3BfYXRmOjMwMDY0NzIyOTgxOTkzMjo6MDo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1774760038%26sr%3D8-1-spons%26aref%3DXCvFJyYctD%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=XCvFJyYctD&sp_cr=ZAZ,78000,2026-03-28,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTE2NDg3MDk2Mjc4MTg5OjE3NzQ3MjIxMjQ6c3BfYXRmOjMwMDY0NzIyOTgxOTkzMjo6MDo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.qzqItt_Heg5H3NSpepPt1Yk223nzljG0WunESVfoNH8ZwYQqNriuRWoIfAqLP5wXnJwvidG6JZyBnqnhO-fBPKIJVxtPg7XWMsktTbcYal2QbSKH8aAiHC7IsBYJDYio3dwDKXIDI4HE13bssHZ84Uiq-sESBUD8809IUUMPQWl2Q6CNvBpy_xkBK8WTKk8M4ofrSRLJwgD4IegK5g8WelSiyyhdC6luZzOkOGlC6Fs.eQsIY2B_Wc3prlkp75g_vNLLwApQrO6I7RGw1l16IWw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1774722124%26sr%3D8-1-spons%26aref%3DXCvFJyYctD%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=XCvFJyYctD&sp_cr=ZAZ,-2510.0
"HP 15, 13th Gen Intel Core i3-1315U, (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD,15.6''/39.6cm, Win11,M365 Basic(1yr),Office24, Silver,1.59kg, fd0572TU, FHD Camera w/Shutter, Backlit Laptop",44990.0,2026-03-29,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0572TU/dp/B0F4R6GXWJ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.AKyQV9y2JFFWhBFv_pGD2-fwLqFMDquX7eM5fn0OsHQpcYbSo0dxRxkV96HsubWOsZfYfC9Ky-g-xS7lf6G2_2Fo_qA24Qn7lBs-5zsDHcYyHphyMEMb4ZqJTnsPaCLNT7SL9QIpPTRFOACUOkB4Tmoz83dZQIiwp8GwgSSefUOt_7dBHjj9AlN-jnUCrx1N2Uzyy0KiqTOVOFUcojWBQxuiYfWSMH_zvV8eCgvMNuM.1jE22-yxXexml034QiDb4jPinCVxkybqVxTI8ywBN_g&dib_tag=se&keywords=laptop&qid=1774760038&sr=8-3,42990,2026-03-28,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0572TU/dp/B0F4R6GXWJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.qzqItt_Heg5H3NSpepPt1Yk223nzljG0WunESVfoNH8ZwYQqNriuRWoIfAqLP5wXnJwvidG6JZyBnqnhO-fBPKIJVxtPg7XWMsktTbcYal2QbSKH8aAiHC7IsBYJDYio3dwDKXIDI4HE13bssHZ84Uiq-sESBUD8809IUUMPQWl2Q6CNvBpy_xkBK8WTKk8M4ofrSRLJwgD4IegK5g8WelSiyyhdC6luZzOkOGlC6Fs.eQsIY2B_Wc3prlkp75g_vNLLwApQrO6I7RGw1l16IWw&dib_tag=se&keywords=laptop&qid=1774722124&sr=8-4,2000.0
"ASUS Vivobook 14 (2025),13th Gen, Intel Core i3-1315U, 8GB RAM, 512GB SSD, FHD, 14"", (35.5 cm) Windows 11 Home, M365 Basic(1 Year)* Office 2024,Cool Silver,1.4 Kg, X1404VA-EB321WS, Thin & Light Laptop",40990.0,2026-03-29,https://www.amazon.in/ASUS-Vivobook-i3-1315U-Windows-X1404VA-EB321WS/dp/B0GBTQ6CK8/ref=sr_1_29?dib=eyJ2IjoiMSJ9.eCVGeule0kN3k-qn-DHmEMrijb0738rlAXEbQ9bS_-vq6lTYQDvq57__tHUhJI0J4I5Xo5Zfa7VEN6Qir23vahQBOw1Gzkke0pT9oBqT3OISmdZGMcmK7SEc9PpdKRXLezUN39I1sgONugbAqIKpr3tJBy2j4GtURssGNLVydtvcm2Zysp_uT4UKsNzkZyaoLizjwj3ZHiVxUfVGtFpH9XbtZjs3q0zVE7Tu85_dG3A.PbcQARyGiE0KL00iw5VE7Gtg1C0yO7nQVf9gtVpiOQk&dib_tag=se&keywords=laptop&qid=1774760051&sr=8-29,43440,2026-03-28,https://www.amazon.in/ASUS-Vivobook-i3-1315U-Windows-X1404VA-EB321WS/dp/B0GBTQ6CK8/ref=sr_1_30?dib=eyJ2IjoiMSJ9.L4eu5_rRetfF89-yJ2x3jYED-wf_50nDmLcGkXyME3c_W0gCqwTTg5mMIYgc1TK7594czjpJNs2-3IwGTjklLwyPFPjyVhp_DYpzOM7dLFw5BCRM8Fr10Ts_hwkc1WRmDIw1AAjUK-e9m4LoFxlcsYohBuBjjjotpO5pOYJgf_R7kPPX0Jwag9iPBH9eDWcpws3ohVD3YM72BtTiTrsAvF29gyz-AQNG6KH_svgjBQs.cJ6Nveq0arYc9FwVlt-iwohVi7ntUo1CzSYOfcXHYuw&dib_tag=se&keywords=laptop&qid=1774722143&sr=8-30,-2450.0
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",49990.0,2026-03-29,https://www.amazon.in/ASUS-Vivobook-Smartchoice-Windows-M1502YA-BQ703WS/dp/B0FC2LKFSC/ref=sr_1_50?dib=eyJ2IjoiMSJ9.pnry_rmjU9K40nGr0ToKqtuw_3QITPV1R0ZEoiIutfTGR7wEinrD-jwMa5xm5ea6_R0mtUEGYCL3nlxZIMJ9bW9TrXy3mtPYPRhPT8V_8S6zs2KEn2PnZbMlJElmn6I_d1Wi9DP3tuJ2BIYzYXuhM29B2GNFC3ctQrTT4PzmNMvXQb4jpKY0m2Px3vApsCM28DDiEh9b6ozSQvsL-YYdjURi9zWwxDTXqjHMf2pZ3QQ.plUImhSgLHA7DEvA2hexSI_oCKp9o3-wYCUdBtXyrIY&dib_tag=se&keywords=laptop&qid=1774760063&sr=8-50,51990,2026-03-28,https://www.amazon.in/ASUS-Vivobook-Smartchoice-Windows-M1502YA-BQ703WS/dp/B0FC2LKFSC/ref=sr_1_39?dib=eyJ2IjoiMSJ9.MlxwIZMTif4jwOS1SlD-j5NG4FTAInfagHP6HHTeR8jTbDIPTBKIXZB4aS6HPkbhA5Kt-Cp2fiqqNEHkeKRRvCwnnlzeDLNYfBgwqqzsKM9Ef_BACVr31ksdbIz-4UC-rUixQKa-EGDD6rk3RwOSGQ4xMZMKF-YUSg99_zE7hIbke4cnrY8kfQ4DVmEh1OVfrDvECkI-Lm_gEekpYP0LPMARUhtfTGuDUZtdIN4cSo0.HRQ0U-gqXHrQKRP-AytAvpEllnmi__ZT-FsQNm49k40&dib_tag=se&keywords=laptop&qid=1774722158&sr=8-39,-2000.0
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i5-1334U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD Display, Backlit Keyboard, Windows 11 + MSO'24 & 15 Month McAfee, Silver,1.62kg",55900.0,2026-03-29,https://www.amazon.in/Dell-Inspiron-i5-1334U-Processor-Keyboard/dp/B0DSFQ6L13/ref=sr_1_52?dib=eyJ2IjoiMSJ9.pnry_rmjU9K40nGr0ToKqtuw_3QITPV1R0ZEoiIutfTGR7wEinrD-jwMa5xm5ea6_R0mtUEGYCL3nlxZIMJ9bW9TrXy3mtPYPRhPT8V_8S6zs2KEn2PnZbMlJElmn6I_d1Wi9DP3tuJ2BIYzYXuhM29B2GNFC3ctQrTT4PzmNMvXQb4jpKY0m2Px3vApsCM28DDiEh9b6ozSQvsL-YYdjURi9zWwxDTXqjHMf2pZ3QQ.plUImhSgLHA7DEvA2hexSI_oCKp9o3-wYCUdBtXyrIY&dib_tag=se&keywords=laptop&qid=1774760063&sr=8-52,55950,2026-03-28,https://www.amazon.in/Dell-Inspiron-i5-1334U-Processor-Keyboard/dp/B0DSFQ6L13/ref=sr_1_38?dib=eyJ2IjoiMSJ9.MlxwIZMTif4jwOS1SlD-j5NG4FTAInfagHP6HHTeR8jTbDIPTBKIXZB4aS6HPkbhA5Kt-Cp2fiqqNEHkeKRRvCwnnlzeDLNYfBgwqqzsKM9Ef_BACVr31ksdbIz-4UC-rUixQKa-EGDD6rk3RwOSGQ4xMZMKF-YUSg99_zE7hIbke4cnrY8kfQ4DVmEh1OVfrDvECkI-Lm_gEekpYP0LPMARUhtfTGuDUZtdIN4cSo0.HRQ0U-gqXHrQKRP-AytAvpEllnmi__ZT-FsQNm49k40&dib_tag=se&keywords=laptop&qid=1774722158&sr=8-38,-50.0
